Date,Open,High,Low,Close,Adj Close,Volume
2017-06-12,36.470001,37.924999,35.527500,37.492500,37.076328,169753200
2017-06-13,38.599998,38.692501,36.412498,37.849998,37.429855,167250400
2017-06-14,37.880001,38.514999,37.125000,37.930000,37.508972,118464000
2017-06-15,36.740002,38.400002,36.625000,38.092499,37.669662,96382400
2017-06-16,38.189999,38.674999,37.560001,37.904999,37.484249,92496000
2017-06-19,38.352501,39.382500,38.314999,39.330002,38.893440,77817600
2017-06-20,39.757500,40.435001,39.230000,39.272499,38.836567,109544400
2017-06-21,39.552502,39.904999,38.924999,39.867500,39.424965,68265200
2017-06-22,39.950001,40.084999,39.349998,39.592499,39.153011,46913200
2017-06-23,39.669998,39.830002,38.305000,38.457500,38.030617,108858800
2017-06-26,38.790001,39.150002,37.082500,38.037498,37.615280,106396000
2017-06-27,37.860001,37.947498,36.587502,36.645000,36.238235,99949200
2017-06-28,37.330002,37.985001,36.437500,37.937500,37.516384,99494800
2017-06-29,37.650002,37.680000,36.020000,36.669998,36.262951,106442400
2017-06-30,36.845001,36.982498,35.875000,36.139999,35.738838,73106000
2017-07-03,36.262501,36.412498,34.645000,34.832500,34.445850,70907200
2017-07-05,35.474998,36.055000,35.282501,35.762501,35.365528,82018800
2017-07-06,35.467499,36.345001,34.939999,35.869999,35.471836,74628400
2017-07-07,36.445000,36.875000,36.212502,36.689999,36.282730,65497200
2017-07-10,37.435001,38.500000,37.169998,38.424999,37.998478,95849200
2017-07-11,38.462502,39.047501,38.037498,38.970001,38.537422,75795600
2017-07-12,39.575001,40.750000,39.139999,40.627499,40.176525,114520800
2017-07-13,40.750000,41.575001,39.687500,40.157501,39.711742,136913200
2017-07-14,40.322498,41.252499,40.252499,41.237499,40.779758,94194800
2017-07-17,41.582500,41.875000,40.437500,41.062500,40.606709,93079200
2017-07-18,40.445000,41.637501,40.325001,41.490002,41.029465,77664000
2017-07-19,41.582500,41.849998,41.152500,41.275002,40.816837,68704400
2017-07-20,41.482498,41.877499,40.977501,41.875000,41.410179,69959600
2017-07-21,41.667500,42.325001,41.522499,42.025002,41.558521,64833200
2017-07-24,42.097500,42.195000,41.430000,41.537498,41.076424,65252400
2017-07-25,41.305000,41.482498,40.895000,41.337502,40.878651,49655600
